quarantine_id,order_id,customer_id,product_id,reason_code,source_batch
1,O000083,,P039,INVALID_CUSTOMER_FK,orders_batch_1
2,O000089,C0030,P035,INVALID_METRICS,orders_batch_1
3,O000097,C0110,P040,INVALID_ORDER_DATE,orders_batch_1
4,O000101,C0151,P029,INVALID_METRICS,orders_batch_1
5,O000107,C0130,P999,INVALID_PRODUCT_FK,orders_batch_1
6,O000113,C0039,P011,INVALID_METRICS,orders_batch_1
7,O000127,C0009,P038,INVALID_METRICS,orders_batch_1
8,O000131,C0152,P037,INVALID_ORDER_DATE,orders_batch_1
9,O000149,C9999,P039,INVALID_CUSTOMER_FK,orders_batch_1
10,O000166,,P027,INVALID_CUSTOMER_FK,orders_batch_1
11,O000178,C0061,P026,INVALID_METRICS,orders_batch_1
12,O000194,C0075,P003,INVALID_ORDER_DATE,orders_batch_1
13,O000202,C0161,P031,INVALID_METRICS,orders_batch_1
14,O000214,C0043,P999,INVALID_PRODUCT_FK,orders_batch_1
15,O000226,C0153,P017,INVALID_METRICS,orders_batch_1
16,O000249,,P025,INVALID_CUSTOMER_FK,orders_batch_1
17,O000254,C0002,P043,INVALID_METRICS,orders_batch_1
18,O000262,C0097,P044,INVALID_ORDER_DATE,orders_batch_1
19,O000267,C0095,P042,INVALID_METRICS,orders_batch_1
20,O000291,C0165,P041,INVALID_ORDER_DATE,orders_batch_1
21,O000298,C9999,P037,INVALID_CUSTOMER_FK,orders_batch_1
22,O000303,C0137,P007,INVALID_METRICS,orders_batch_1
23,O000321,C0073,P999,INVALID_PRODUCT_FK,orders_batch_1
24,O000332,,P017,INVALID_CUSTOMER_FK,orders_batch_1
25,O000339,C0146,P014,INVALID_METRICS,orders_batch_1
26,O000356,C0146,P042,INVALID_METRICS,orders_batch_1
27,O000381,C0054,P005,INVALID_METRICS,orders_batch_1
28,O000388,C0086,P027,INVALID_ORDER_DATE,orders_batch_1
29,O000393,C0148,P037,INVALID_ORDER_DATE,orders_batch_1
30,O000404,C0163,P016,INVALID_METRICS,orders_batch_1
31,O000415,,P030,INVALID_CUSTOMER_FK,orders_batch_1
32,O000428,C0150,P999,INVALID_PRODUCT_FK,orders_batch_2
33,O000445,C0015,P039,INVALID_METRICS,orders_batch_2
34,O000447,C9999,P001,INVALID_CUSTOMER_FK,orders_batch_2
35,O000452,C0126,P036,INVALID_METRICS,orders_batch_2
36,O000485,C0077,P010,INVALID_ORDER_DATE,orders_batch_2
37,O000498,,P035,INVALID_CUSTOMER_FK,orders_batch_2
38,O000505,C0154,P009,INVALID_METRICS,orders_batch_2
39,O000508,C0036,P013,INVALID_METRICS,orders_batch_2
40,O000524,C0075,P009,INVALID_ORDER_DATE,orders_batch_2
41,O000534,C0044,P004,INVALID_METRICS,orders_batch_2
42,O000535,C0100,P999,INVALID_PRODUCT_FK,orders_batch_2
43,O000565,C0009,P033,INVALID_METRICS,orders_batch_2
44,O000581,,P010,INVALID_CUSTOMER_FK,orders_batch_2
45,O000582,C0140,P009,INVALID_ORDER_DATE,orders_batch_2
46,O000596,C9999,P036,INVALID_CUSTOMER_FK,orders_batch_2
47,O000606,C0125,P042,INVALID_METRICS,orders_batch_2
48,O000623,C0086,P041,INVALID_METRICS,orders_batch_2
49,O000635,C0153,P010,INVALID_METRICS,orders_batch_2
50,O000642,C0018,P999,INVALID_PRODUCT_FK,orders_batch_2
51,O000655,C0147,P037,INVALID_ORDER_DATE,orders_batch_2
52,O000664,,P004,INVALID_CUSTOMER_FK,orders_batch_2
53,O000678,C0137,P046,INVALID_METRICS,orders_batch_2
54,O000679,C0075,P040,INVALID_ORDER_DATE,orders_batch_2
55,O000707,C0079,P044,INVALID_METRICS,orders_batch_2
56,O000712,C0026,P040,INVALID_METRICS,orders_batch_2
57,O000745,C9999,P021,INVALID_CUSTOMER_FK,orders_batch_2
58,O000747,,P014,INVALID_CUSTOMER_FK,orders_batch_2
59,O000749,C0180,P999,INVALID_PRODUCT_FK,orders_batch_2
60,O000762,C0154,P025,INVALID_METRICS,orders_batch_2
61,O000776,C0120,P047,INVALID_ORDER_DATE,orders_batch_2
62,O000786,C0044,P008,INVALID_ORDER_DATE,orders_batch_2
63,O000791,C0058,P040,INVALID_METRICS,orders_batch_2
64,O000801,C0030,P044,INVALID_METRICS,orders_batch_2
65,O000808,C0168,P008,INVALID_METRICS,orders_batch_2
66,O000830,,P009,INVALID_CUSTOMER_FK,orders_batch_2
67,O000428,C0150,P999,INVALID_PRODUCT_FK,orders_batch_2
68,O000445,C0015,P039,INVALID_METRICS,orders_batch_2
69,O000856,C0089,P999,INVALID_PRODUCT_FK,orders_batch_3
70,O000873,C0109,P001,INVALID_ORDER_DATE,orders_batch_3
71,O000889,C0163,P020,INVALID_METRICS,orders_batch_3
72,O000890,C0061,P015,INVALID_METRICS,orders_batch_3
73,O000894,C9999,P022,INVALID_CUSTOMER_FK,orders_batch_3
74,O000904,C0152,P033,INVALID_METRICS,orders_batch_3
75,O000909,C0058,P009,INVALID_METRICS,orders_batch_3
76,O000913,,P023,INVALID_CUSTOMER_FK,orders_batch_3
77,O000917,C0032,P022,INVALID_ORDER_DATE,orders_batch_3
78,O000963,C0069,P999,INVALID_PRODUCT_FK,orders_batch_3
79,O000970,C0040,P040,INVALID_ORDER_DATE,orders_batch_3
80,O000979,C0049,P047,INVALID_METRICS,orders_batch_3
81,O000996,,P035,INVALID_CUSTOMER_FK,orders_batch_3
82,O001010,C0102,P020,INVALID_METRICS,orders_batch_3
83,O001016,C0105,P017,INVALID_METRICS,orders_batch_3
84,O001017,C0010,P009,INVALID_METRICS,orders_batch_3
85,O001043,C9999,P029,INVALID_CUSTOMER_FK,orders_batch_3
86,O001048,C0023,P037,INVALID_ORDER_DATE,orders_batch_3
87,O001067,C0080,P042,INVALID_ORDER_DATE,orders_batch_3
88,O001068,C0145,P042,INVALID_METRICS,orders_batch_3
89,O001070,C0023,P999,INVALID_PRODUCT_FK,orders_batch_3
90,O001079,,P044,INVALID_CUSTOMER_FK,orders_batch_3
91,O001111,C0137,P040,INVALID_METRICS,orders_batch_3
92,O001130,C0089,P001,INVALID_METRICS,orders_batch_3
93,O001143,C0103,P038,INVALID_METRICS,orders_batch_3
94,O001157,C0133,P041,INVALID_METRICS,orders_batch_3
95,O001162,,P027,INVALID_CUSTOMER_FK,orders_batch_3
96,O001164,C0107,P008,INVALID_ORDER_DATE,orders_batch_3
97,O001177,C0129,P999,INVALID_PRODUCT_FK,orders_batch_3
98,O001179,C0171,P031,INVALID_ORDER_DATE,orders_batch_3
99,O001192,C9999,P045,INVALID_CUSTOMER_FK,orders_batch_3
100,O001212,C0154,P004,INVALID_METRICS,orders_batch_3
101,O001243,C0078,P015,INVALID_METRICS,orders_batch_3
102,O001245,,P023,INVALID_CUSTOMER_FK,orders_batch_3
103,O001246,C0014,P024,INVALID_METRICS,orders_batch_3
